url,ceo_approval,friend_recommendation
https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm,71,69
https://www.glassdoor.com/Reviews/Deloitte-Reviews-E2763.htm,87,78
https://www.glassdoor.com/Reviews/Walmart-Reviews-E715.htm,59,55
https://www.glassdoor.com/Reviews/Target-Reviews-E194.htm,64,61
https://www.glassdoor.com/Reviews/McDonald-s-Reviews-E432.htm,71,58
https://www.glassdoor.com/Reviews/Infosys-Reviews-E7927.htm,68,53
https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm,81,75
https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm,82,75
https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm,92,86
https://www.glassdoor.com/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm,83,73
https://www.glassdoor.com/Reviews/Starbucks-Reviews-E2202.htm,54,66
https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm,81,86
https://www.glassdoor.com/Reviews/Cognizant-Technology-Solutions-Reviews-E8014.htm,79,74
https://www.glassdoor.com/Reviews/EY-Reviews-E2784.htm,69,78
https://www.glassdoor.com/Reviews/The-Home-Depot-Reviews-E655.htm,78,73
https://www.glassdoor.com/Reviews/Apple-Reviews-E1138.htm,90,82
https://www.glassdoor.com/Reviews/PwC-Reviews-E8450.htm,87,78
https://www.glassdoor.com/Reviews/US-Army-Reviews-E41322.htm,63,67
https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,65,65
https://www.glassdoor.com/Reviews/Oracle-Reviews-E1737.htm,84,76
https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm,89,78
https://www.glassdoor.com/Reviews/AT-and-T-Reviews-E613.htm,56,61
https://www.glassdoor.com/Reviews/Lowe-s-Home-Improvement-Reviews-E415.htm,68,59
https://www.glassdoor.com/Reviews/CVS-Health-Reviews-E437.htm,50,45
https://www.glassdoor.com/Reviews/JPMorgan-Chase-and-Co-Reviews-E5224839.htm,87,80
https://www.glassdoor.com/Reviews/UPS-Reviews-E3012.htm,60,61
https://www.glassdoor.com/Reviews/Wipro-Reviews-E9936.htm,65,49
https://www.glassdoor.com/Reviews/Qualcomm-Reviews-E640.htm,89,83
https://www.glassdoor.com/Reviews/KPMG-Reviews-E2867.htm,89,75
https://www.glassdoor.com/Reviews/Best-Buy-Reviews-E97.htm,38,64
https://www.glassdoor.com/Reviews/Cisco-Systems-Reviews-E1425.htm,92,89
https://www.glassdoor.com/Reviews/Verizon-Reviews-E89.htm,66,71
https://www.glassdoor.com/Reviews/Walgreens-Reviews-E716.htm,45,44
https://www.glassdoor.com/Reviews/Intel-Corporation-Reviews-E1519.htm,87,82
https://www.glassdoor.com/Reviews/Macy-s-Reviews-E1079.htm,67,56
https://www.glassdoor.com/Reviews/US-Navy-Reviews-E41451.htm,58,60
https://www.glassdoor.com/Reviews/Capgemini-Reviews-E3803.htm,81,73
https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm,53,70
https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,86,75
https://www.glassdoor.com/Reviews/US-Air-Force-Reviews-E41283.htm,85,78
https://www.glassdoor.com/Reviews/Dell-Technologies-Reviews-E1327.htm,93,84
https://www.glassdoor.com/Reviews/HCLTech-Reviews-E553909.htm,86,72
https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm,88,77
https://www.glassdoor.com/Reviews/Enterprise-Reviews-E2783.htm,83,65
https://www.glassdoor.com/Reviews/Salesforce-Reviews-E11159.htm,76,78
https://www.glassdoor.com/Reviews/Nordstrom-Reviews-E1704.htm,74,64
https://www.glassdoor.com/Reviews/T-Mobile-Reviews-E9302.htm,69,69
https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,66,72
https://www.glassdoor.com/Reviews/Teleperformance-Reviews-E9779.htm,90,83
https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm,40,44
https://www.glassdoor.com/Reviews/ADP-Reviews-E64.htm,90,78
https://www.glassdoor.com/Reviews/Kohl-s-Reviews-E592.htm,55,54
https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,88,79
https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm,79,68
https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm,67,75
https://www.glassdoor.com/Reviews/Whole-Foods-Market-Reviews-E422.htm,53,60
https://www.glassdoor.com/Reviews/State-Farm-Reviews-E2990.htm,66,60
https://www.glassdoor.com/Reviews/Chipotle-Reviews-E15228.htm,56,53
https://www.glassdoor.com/Reviews/Lockheed-Martin-Reviews-E404.htm,90,84
https://www.glassdoor.com/Reviews/Aerotek-Reviews-E18267.htm,70,54
