,employer_name,rating
0,Amazon,3.7
1,Deloitte,4.0
2,Walmart,3.3
3,Target,3.6
4,McDonald's,3.5
5,Infosys,3.3
6,Accenture,4.0
7,IBM,3.9
8,Microsoft,4.3
9,Tata Consultancy Services,3.9
10,Amazon,3.7
11,Deloitte,4.0
12,Walmart,3.3
13,Target,3.6
14,McDonald's,3.5
15,Infosys,3.3
16,Accenture,4.0
17,IBM,3.9
18,Microsoft,4.3
19,Tata Consultancy Services,3.9
20,Amazon,3.7
21,Deloitte,4.0
22,Walmart,3.3
23,Target,3.6
24,McDonald's,3.5
25,Infosys,3.3
26,Accenture,4.0
27,IBM,3.9
28,Microsoft,4.3
29,Tata Consultancy Services,3.9
30,Amazon,3.7
31,Deloitte,4.0
32,Walmart,3.3
33,Target,3.6
34,McDonald's,3.5
35,Infosys,3.3
36,Accenture,4.0
37,IBM,3.9
38,Microsoft,4.3
39,Tata Consultancy Services,3.9
40,Starbucks,3.7
41,Google,4.4
42,Cognizant Technology Solutions,3.8
43,EY,3.9
44,The Home Depot,3.8
45,Apple,4.2
46,PwC,3.9
47,US Army,3.8
48,Wells Fargo,3.7
49,Oracle,3.9
50,Bank of America,4.0
51,AT&T,3.6
52,Lowe's Home Improvement,3.5
53,CVS Health,3.1
54,JPMorgan Chase & Co,4.0
55,UPS,3.5
56,Wipro,3.1
57,Qualcomm,4.1
58,KPMG,3.8
59,Best Buy,3.6
60,Cisco Systems,4.4
61,Verizon,3.8
62,Walgreens,3.2
63,Intel Corporation,4.1
64,Macy's,3.4
65,US Navy,3.7
66,Capgemini,3.8
67,Meta,3.9
68,Citi,3.9
69,US Air Force,4.1
70,Dell Technologies,4.2
71,HCLTech,3.7
72,Capital One,4.1
73,Enterprise,3.7
74,Salesforce,4.1
75,Nordstrom,3.7
76,T-Mobile,3.8
77,Goldman Sachs,3.9
78,Teleperformance,4.2
79,Kroger,3.1
80,ADP,4.0
81,Kohl's,3.4
82,Morgan Stanley,4.0
83,Comcast,3.8
84,Boeing,3.9
85,Whole Foods Market,3.5
86,State Farm,3.6
87,SelfEmployed.com,4.4
88,Chipotle,3.4
89,Lockheed Martin,4.1
90,US Postal Service,3.0
91,Aerotek,3.5
92,Fidelity Investments,4.3
93,UnitedHealth Group,3.7
94,PepsiCo,4.0
95,YMCA,3.9
96,Kaiser Permanente,3.9
97,Publix,3.8
98,SAP,4.4
99,Honeywell,4.0
100,Panera Bread,3.4
101,Spectrum,3.3
102,Marriott International,4.0
103,Walt Disney Company,3.9
104,Subway,3.4
105,Northrop Grumman,4.0
106,GE,4.0
107,FedEx Ground,3.4
108,Costco Wholesale,3.9
109,Chick-fil-A,4.0
110,US Marine Corps,3.9
111,American Express,4.2
112,Tech Mahindra,3.6
113,Hewlett Packard Enterprise | HPE,4.2
114,DXC Technology,3.6
115,General Motors (GM),4.0
116,Sears,3.4
117,Domino's,3.5
118,CGI,3.9
119,NIKE,4.2
120,Staples,3.4
121,Johnson & Johnson,4.2
122,Old Navy,3.6
123,Dollar General,2.7
124,Siemens,4.1
125,GEICO,2.9
126,PNC Financial Services Group,3.6
127,Burger King,3.5
128,Robert Half,3.8
129,Bloomberg L.P.,4.1
130,Booz Allen Hamilton,4.2
131,J. C. Penney,3.4
132,McKinsey & Company,4.3
133,Liberty Mutual Insurance,3.8
134,Tesla,3.6
135,U.S. Bank,3.7
136,HSBC,3.8
137,Cerner,3.6
138,UBS,3.9
139,Barclays,4.0
140,NVIDIA,4.6
141,ALDI,3.5
142,Ulta Beauty,3.5
143,Insight Global,3.8
144,TD,3.9
145,Thomson Reuters,3.7
146,Procter & Gamble,4.1
147,ABC,4.0
148,Ford Motor Company,4.0
149,Victoria's Secret,3.5
150,Sam's Club,3.3
151,VMware,4.3
152,H E B,4.2
153,Allstate,3.4
154,Kforce,4.0
155,Epic,3.4
156,Allied Universal,3.1
157,H&M,3.6
158,US Department of Veterans Affairs,3.7
159,Taco Bell,3.4
160,Concentrix,4.1
161,Raytheon Technologies,3.8
162,Aramark,3.3
163,Pizza Hut,3.5
164,Intuit,4.5
165,Freelancer,4.2
166,Northwestern Mutual,4.0
167,Chase,3.8
168,Labcorp,3.7
169,DICK'S Sporting Goods,3.8
170,CBRE,4.0
171,Thermo Fisher Scientific,3.7
172,Ross Stores,3.2
173,FedEx,3.7
174,American Airlines,3.8
175,Medtronic,3.9
176,J.P. Morgan,4.0
177,Optum,3.7
178,Hilton,4.0
179,BNY Mellon,3.6
180,Wendy's,3.4
181,Philips,3.6
182,Progressive Insurance,3.8
183,Dunkin',3.2
184,PetSmart,3.3
185,Delta Air Lines,4.3
186,IQVIA,4.0
187,SLB,4.0
188,Santander,3.8
189,TEKsystems,3.9
190,Wayfair,3.2
191,Credit Suisse,3.9
192,Abbott,3.8
193,Ericsson-Worldwide,3.7
194,HCA Healthcare,3.3
195,CSC,3.2
196,Sodexo,3.3
197,Bath & Body Works,3.8
198,IKEA,3.7
199,Deutsche Bank,3.9
200,DaVita,3.4
201,Abercrombie & Fitch,3.6
202,State Street,3.6
203,Cummins,4.2
204,American Eagle Outfitters,3.5
205,Alorica,3.2
206,LinkedIn,4.3
207,USAA,3.4
208,Pfizer,4.1
209,Trader Joe's,4.0
210,Fujitsu,3.7
211,Schneider Electric,4.2
212,ExxonMobil,3.1
213,Nokia,4.2
214,Self Opportunity,4.3
215,Humana,3.9
216,Sephora,3.7
217,Boston Consulting Group,4.3
218,Olive Garden Italian Restaurants,3.7
219,TTEC,3.5
220,Forever 21,3.2
221,AECOM,3.8
222,Caterpillar,4.0
223,Rite Aid,3.1
224,JLL,3.9
225,Michaels,3.2
226,FIS,3.7
227,Kelly,3.5
228,Fiserv,3.1
229,NBCUniversal,4.1
230,ServiceNow,4.4
231,GSK,4.1
232,Mphasis,3.6
233,TJ Maxx,3.5
234,HP Inc.,4.2
235,Ascension,3.4
236,Mastech Digital,4.2
237,Gartner,4.1
238,Travelers,4.1
239,Expedia Group,4.1
240,Office Depot,3.2
241,AIG,3.7
242,Goodwill,3.3
243,Shell,4.1
244,Xerox,3.3
245,Dollar Tree,3.0
246,University of Washington,4.2
247,Yelp,3.5
248,Charles Schwab,3.8
249,Johnson Controls,3.6
250,Pearson,3.7
251,Vanguard,3.7
252,Applebee's,3.5
253,Foundever,3.6
254,GameStop,2.9
255,CarMax,3.8
256,Barnes & Noble,3.7
257,Visa Inc.,4.1
258,lululemon,4.3
259,Genpact,3.9
260,Merck,4.2
261,RSM,4.0
262,Randstad US,3.7
263,The Cigna Group,3.6
264,Nielsen,3.7
265,Adecco,3.7
266,L'Oréal,4.0
267,Dillard's,3.1
268,eBay,4.1
269,Stryker,4.1
270,Lumen,3.5
271,UST,3.9
272,Manpower,4.2
273,Securitas,3.1
274,Sanofi,4.0
275,Unilever,4.2
276,Yahoo,4.1
277,KFC,3.5
278,H&R Block,3.7
279,BlackRock,4.0
280,Fedex Express,3.6
281,Stanford University,4.2
282,Hollister Co.,3.6
283,Novartis,4.0
284,Bed Bath & Beyond,3.3
285,Conduent,3.1
286,Elevance Health,3.7
287,NYU (New York University),4.3
288,Burlington Stores,3.1
289,Jacobs,4.0
290,Merrill,3.8
291,Aon,4.0
292,Providence,3.5
293,Jimmy John's,3.7
294,WTW,3.9
295,Farmers Insurance Group,3.4
296,AutoZone,3.3
297,Massage Envy,3.2
298,Grant Thornton,3.9
299,Texas Instruments,4.1
300,Samsung Electronics,3.8
301,Nationwide,4.0
302,UCLA,4.1
303,Cracker Barrel,3.3
304,Cintas,3.6
305,Total Quality Logistics,4.1
306,Hertz,3.2
307,Centene,3.8
308,RBC,4.0
309,McKesson,3.8
310,MetLife,3.9
311,Buffalo Wild Wings,3.3
312,Zensar Technologies,3.9
313,Petco,3.0
314,Hyatt,4.0
315,Randstad,3.8
316,3M,3.7
317,Bayer,3.9
318,Columbia University,4.1
319,Bain & Company,4.4
320,Instacart,3.6
321,New York City Department of Education,3.6
322,University of Pennsylvania,4.1
323,UC San Diego,4.1
324,Cleveland Clinic,3.7
325,Texas A&M University,4.3
326,GE HealthCare,4.3
327,UKG,3.8
328,Micron Technology,3.7
329,Southwest Airlines,4.1
330,Asurion,3.3
331,The Ohio State University,4.2
332,UPMC,3.2
333,Kmart,3.4
334,Leidos,3.8
335,University of Texas at Austin,4.3
336,Rocket Companies,3.5
337,Workday,4.2
338,Genentech,4.2
339,Eaton,3.9
340,Prudential,3.9
341,Food Lion,3.3
342,Western Digital,3.7
343,Nestlé,4.1
344,University of Southern California,4.3
345,NCR,3.6
346,Publicis Sapient,3.8
347,Life Time,3.5
348,Tata Consultancy Services (North America),3.8
349,Arizona State University,4.2
350,Applied Materials,4.1
351,Urban Outfitters,3.5
352,EPAM Systems,4.1
353,Roche,4.3
354,AstraZeneca,4.1
355,Marshalls,3.5
356,Disney Parks,3.8
357,Wegmans Food Markets,4.1
358,Meijer,3.2
359,United States Federal Government,4.1
360,Halliburton,3.7
361,SAIC,4.0
362,Express Employment Professionals,3.9
363,Northside Hospital,4.2
364,Chevron,4.2
365,Keller Williams,4.4
366,Brookdale Senior Living,3.4
367,New York Life,3.7
368,Atos-Syntel,3.6
369,Amgen,4.1
370,University of Minnesota,4.2
371,Paycom,3.5
372,Panda Express,3.6
373,Aetna,3.4
374,Baylor Scott & White Health,3.8
375,Chili's Grill and Bar,3.4
376,Discover,3.9
377,Quest Diagnostics,3.4
378,Harvard University,4.3
379,Kraft Heinz Company,3.5
